E3,.draw,Magnitude
-1.917,1,0.8199428727638354
-1.724,1,0.561282923350344
-1.426,1,0.20284405685681
-1.119,1,-0.08037686271967079
-1.015,1,-0.15693776688099034
-0.935,1,-0.20917309470877607
-0.927,1,-0.21404939291927577
-0.807,1,-0.27802394685680487
-0.803,1,-0.2798181612520826
-0.803,1,-0.2798181612520826
-0.793,1,-0.2841962973295504
-0.702,1,-0.31652199097097133
-0.576,1,-0.33659599444244714
-0.455,1,-0.32744810353105913
-0.432,1,-0.3226910532962767
-0.265,1,-0.2655782716270746
-0.262,1,-0.26428079505367946
-0.182,1,-0.22759671574481927
-0.178,1,-0.2256789789418185
-0.021,1,-0.14662034153874154
-0.015,1,-0.14349050208174016
0.047,1,-0.11074415242939761
0.055,1,-0.1064505105034419
0.195,1,-0.026286406361601587
0.222,1,-0.00920005916129394
0.264,1,0.018770481308817248
0.297,1,0.041998875796813176
0.34,1,0.07390596843045126
0.487,1,0.19398292080294582
0.665,1,0.34783590910934775
0.764,1,0.429311576625466
1.023,1,0.6166384193097459
1.132,1,0.6880051397389159
1.133,1,0.6886553009096879
1.342,1,0.8322472273359245
1.465,1,0.9331634129115797
1.472,1,0.9394202092874708
2.086,1,1.592553317589228
2.367,1,1.8608141502992646
-1.917,2,0.7452732833011693
-1.724,2,0.4877477270074614
-1.426,2,0.10116530746210473
-1.119,2,-0.25922260588994794
-1.015,2,-0.36480599881046083
-0.935,2,-0.43689709467504445
-0.927,2,-0.44356068810723315
-0.807,2,-0.528346361806085
-0.803,2,-0.5306099860442748
-0.803,2,-0.5306099860442748
-0.793,2,-0.5360901310492747
-0.702,2,-0.5737280915069896
-0.576,2,-0.5875518349347497
-0.455,2,-0.5593658269168076
-0.432,2,-0.5497835359282048
-0.265,2,-0.44932581816519823
-0.262,2,-0.4471509703737677
-0.182,2,-0.38632203230498785
-0.178,2,-0.38316677805690774
-0.021,2,-0.2543466749644608
-0.015,2,-0.24929146922116655
0.047,2,-0.19664670919409127
0.055,2,-0.18978618461252142
0.195,2,-0.06455683514247017
0.222,2,-0.038693869980766626
0.264,2,0.0030306664155403673
0.297,2,0.03717615225213308
0.34,2,0.0834891480405951
0.487,2,0.2547603302280228
0.665,2,0.4751882033450375
0.764,2,0.5954056678276247
1.023,2,0.8793073970830632
1.132,2,0.982843698861427
1.133,2,0.9837502737670256
1.342,2,1.159824909030179
1.465,2,1.2551307350539576
1.472,2,1.2604275634268574
2.086,2,1.612741254016576
2.367,2,1.6611883183368066
-1.917,3,1.0282333313484553
-1.724,3,0.7868255791371174
-1.426,3,0.3868015049755745
-1.119,3,-0.007990692488775153
-1.015,3,-0.10685933621395316
-0.935,3,-0.16241306929440635
-0.927,3,-0.16686545074809545
-0.807,3,-0.20904328836724684
-0.803,3,-0.20967103064340104
-0.803,3,-0.20967103064340104
-0.793,3,-0.21102707934151532
-0.702,3,-0.21080884930192417
-0.576,3,-0.18343635717539952
-0.455,3,-0.14503042454686607
-0.432,3,-0.1378301014301678
-0.265,3,-0.095926381189776
-0.262,3,-0.09538949314072995
-0.182,3,-0.0841447606159576
-0.178,3,-0.08372247672848313
-0.021,3,-0.07177869067780807
-0.015,3,-0.0713065163218051
0.047,3,-0.06528301251369772
0.055,3,-0.06431177120070042
0.195,3,-0.03721034364862058
0.222,3,-0.029375093680865133
0.264,3,-0.0152888707372755
0.297,3,-0.002609670828222277
0.34,3,0.015943303479569598
0.487,3,0.09377129028686826
0.665,3,0.20735092962366602
0.764,3,0.27527894496170974
1.023,3,0.46617311502191483
1.132,3,0.5547966036598113
1.133,3,0.5556357147417084
1.342,3,0.7368471767065731
1.465,3,0.8420422369635757
1.472,3,0.8478309670166428
2.086,3,1.2133905474310998
2.367,3,1.2733064339029074
-1.917,4,0.9670347794857331
-1.724,4,0.5640241084436409
-1.426,4,0.02621165530993863
-1.119,4,-0.3511895087625668
-1.015,4,-0.4419471390408186
-0.935,4,-0.5014624785879316
-0.927,4,-0.5069605907081197
-0.807,4,-0.5794902362105565
-0.803,4,-0.5815743448633541
-0.803,4,-0.5815743448633541
-0.793,4,-0.5866865092163744
-0.702,4,-0.6263216488359895
-0.576,4,-0.6579251421811192
-0.455,4,-0.6593147995366513
-0.432,4,-0.6562201700394237
-0.265,4,-0.6037161642390395
-0.262,4,-0.6023344224540501
-0.182,4,-0.5604995805963687
-0.178,4,-0.558167001958106
-0.021,4,-0.44970888003621834
-0.015,4,-0.44492577789527255
0.047,4,-0.39276982385960146
0.055,4,-0.3856704570167674
0.195,4,-0.24697936938075749
0.222,4,-0.216946267753548
0.264,4,-0.16810460367171862
0.297,4,-0.1280271211356612
0.34,4,-0.07385797791731752
0.487,4,0.1201430141528261
0.665,4,0.34368357128942156
0.764,4,0.44774271219237427
1.023,4,0.6319243448380266
1.132,4,0.6787174610117235
1.133,4,0.6790930486227916
1.342,4,0.7562186081017542
1.465,4,0.8210964674955626
1.472,4,0.825605037240835
2.086,4,1.4687283726285578
2.367,4,1.8048211890968853
-1.917,5,0.08098688932544218
-1.724,5,-0.09409684676502139
-1.426,5,-0.3447252395351687
-1.119,5,-0.5197605038394348
-1.015,5,-0.5454625887329789
-0.935,5,-0.551270837665723
-0.927,5,-0.5511863240641763
-0.807,5,-0.5369218912660341
-0.803,5,-0.5360735542377628
-0.803,5,-0.5360735542377628
-0.793,5,-0.5338613120152524
-0.702,5,-0.5087077423452695
-0.576,5,-0.46515570022163505
-0.455,5,-0.42273111358996535
-0.432,5,-0.41519600718997646
-0.265,5,-0.3663027814417892
-0.262,5,-0.3654882465828701
-0.182,5,-0.3437963332308184
-0.178,5,-0.3426885730074777
-0.021,5,-0.29159492610517107
-0.015,5,-0.2891801956593389
0.047,5,-0.2613932885938598
0.055,5,-0.25740806545292483
0.195,5,-0.17234585948243777
0.222,5,-0.15267209824229405
0.264,5,-0.12010603583859362
0.297,5,-0.09299443601132378
0.34,5,-0.05595338341699385
0.487,5,0.0795835914038451
0.665,5,0.243439363906719
0.764,5,0.32640695837894057
1.023,5,0.5075675164167532
1.132,5,0.5721311832664828
1.133,5,0.572702654383882
1.342,5,0.6873849968463295
1.465,5,0.7531451897518191
1.472,5,0.7568880348250462
2.086,5,1.064605454898009
2.367,5,1.175714310716626
-1.917,6,0.8068275605648223
-1.724,6,0.5306448517937395
-1.426,6,0.10373591726147685
-1.119,6,-0.2938932485382859
-1.015,6,-0.4023398990875898
-0.935,6,-0.4729710253960404
-0.927,6,-0.47938538275308484
-0.807,6,-0.5616198205718024
-0.803,6,-0.5639241440545302
-0.803,6,-0.5639241440545302
-0.793,6,-0.5695659023169203
-0.702,6,-0.6133134909863932
-0.576,6,-0.6523780197897691
-0.455,6,-0.6666978261313403
-0.432,6,-0.6667207519035192
-0.265,6,-0.6375830879272473
-0.262,6,-0.6365445440026274
-0.182,6,-0.6017203161424177
-0.178,6,-0.5996226580268131
-0.021,6,-0.4947503786795496
-0.015,6,-0.4900318558069853
0.047,6,-0.4393103225423922
0.055,6,-0.43257197833053457
0.195,6,-0.3149604945770401
0.222,6,-0.29374192160894913
0.264,6,-0.26261518675815976
0.297,6,-0.23998918740714725
0.34,6,-0.21306292035272756
0.487,6,-0.13983946944354608
0.665,6,-0.07127029561704948
0.764,6,-0.030210070611509432
1.023,6,0.12265247863592824
1.132,6,0.21170610514384325
1.133,6,0.21258960058524956
1.342,6,0.4129009395421778
1.465,6,0.5322885609764172
1.472,6,0.5388685330063134
2.086,6,1.0687120418005323
2.367,6,1.3382294033573743
-1.917,7,0.11916085030271217
-1.724,7,-0.07693239407211205
-1.426,7,-0.29598021499040716
-1.119,7,-0.36611608929647366
-1.015,7,-0.3654893096488031
-0.935,7,-0.36090769418382074
-0.927,7,-0.3603132747461618
-0.807,7,-0.34851752659270124
-0.803,7,-0.3480183704492635
-0.803,7,-0.3480183704492635
-0.793,7,-0.34673667729934693
-0.702,7,-0.33257576698567026
-0.576,7,-0.30425275597832635
-0.455,7,-0.2677816486656548
-0.432,7,-0.26013374628875124
-0.265,7,-0.2065918492992113
-0.262,7,-0.20578068811529943
-0.182,7,-0.18784671256154428
-0.178,7,-0.18715760082149205
-0.021,7,-0.17603833803523217
-0.015,7,-0.17618304178989377
0.047,7,-0.17959756763409368
0.055,7,-0.18023983004677036
0.195,7,-0.19189252277913432
0.222,7,-0.19282651958467334
0.264,7,-0.19247757286943426
0.297,7,-0.19042105514875407
0.34,7,-0.1852230683952797
0.487,7,-0.14870237537331982
0.665,7,-0.0837859908482616
0.764,7,-0.04955593241310441
1.023,7,0.009013327477482291
1.132,7,0.021319326173318442
1.133,7,0.02141158700246515
1.342,7,0.04290845999519033
1.465,7,0.0679243235113568
1.472,7,0.06977742291092559
2.086,7,0.26075701120701944
2.367,7,0.24402429621678623
-1.917,8,-0.04595520940708736
-1.724,8,-0.10202058550180088
-1.426,8,-0.17670282326525474
-1.119,8,-0.23965722985571367
-1.015,8,-0.26447978370816994
-0.935,8,-0.2877744239961673
-0.927,8,-0.2903823117764805
-0.807,8,-0.3370920411760989
-0.803,8,-0.3389197240664771
-0.803,8,-0.3389197240664771
-0.793,8,-0.3435714006429039
-0.702,8,-0.3907161956473594
-0.576,8,-0.46501598949573675
-0.455,8,-0.5343311514179323
-0.432,8,-0.5459898977650871
-0.265,8,-0.6005978267510916
-0.262,8,-0.6009393062739777
