E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,Magnitude
SN1,-0.839,-0.927,0.32,0.176,-0.676,-1.272,0.342,-0.427,-0.016,-0.298
SN2,-1.892,-0.455,2.407,0.766,-0.944,-1.527,0.088,0.261,0.185,-0.537
SN3,0.264,-0.803,1.141,-0.863,0.685,-0.354,-1.038,-1.098,-1.319,-1.695
SN4,-0.083,1.023,-0.206,-1.115,-0.863,0.715,0.616,0.564,0.615,-0.488
SN5,0.411,-0.807,-0.129,1.315,-0.647,0.299,-0.822,-1.534,-1.486,-1.087
SN6,0,-1.917,1.832,1.38,-0.782,-1.914,-1.63,0.609,1.451,1.619
SN7,0.714,0.055,0.309,0.273,-0.457,-0.183,0.001,-0.74,-0.21,-0.38
SN8,1.036,-0.262,1.145,1.056,-0.291,-0.779,-1.622,-1.334,-0.755,-0.662
SN9,0.519,0.34,-0.69,-0.128,0.172,0.708,0.427,-0.579,-0.721,-0.521
SN10,-1.684,-0.793,-0.091,-0.515,0.19,-0.217,0.678,-0.148,-0.224,-0.244
SN11,-1.738,1.132,-1.15,-1.285,1.254,-0.782,1.952,3.53,3.391,2.574
SN12,0.831,-0.935,0.608,0.534,-0.933,-0.034,-1.344,-1.156,-1.126,-0.932
SN13,1.035,-0.265,0.226,-0.41,0.424,-0.624,-0.369,0.127,0.443,-0.255
SN14,-0.893,-0.015,0.135,0.513,-0.662,-0.626,0.266,-0.1,-0.059,-0.296
SN15,1.398,2.367,-1.964,-1.649,0.324,2.552,2.197,0.887,0.435,0.551
SN16,-0.158,0.195,1.955,0.333,-1.208,-1.363,-0.953,0.612,0.899,-0.452
SN17,1.042,-0.432,-0.154,0.586,-0.062,0.381,-0.826,-0.996,-0.701,-0.624
SN18,0.687,0.264,0.15,0.48,-0.807,-0.485,-0.144,-0.444,-0.809,-1.614
SN19,0.324,-0.021,-0.376,-0.933,1.615,0.958,-0.176,-0.306,-1.389,-1.172
SN20,1.027,0.487,0.199,0.035,0.7,0.093,-0.508,-0.002,0.021,0.388
SN21,-1.791,-1.015,-0.379,-0.453,0.161,-0.553,0.941,0.541,-0.042,-0.193
SN22,0.485,0.047,0.551,-0.717,-2.195,0.722,0.283,0.425,0.083,0.159
SN23,-0.674,-0.576,1.461,-0.821,-0.759,-0.311,-0.482,-0.651,-0.09,-0.645
SN24,0.61,0.764,-0.277,0.139,1.647,-0.238,0.068,0.538,0.963,1.894
SN25,0.692,0.297,0.384,2.748,0.995,-0.818,-1.052,-0.232,0.745,1.664
SN26,0.426,-0.178,-0.204,-0.205,0.696,0.736,-0.617,-0.418,-0.08,0.393
SN27,-1.661,-1.724,0.64,1.408,-0.811,-1.201,-0.445,-0.593,-0.148,-0.136
SN28,0.372,-1.119,0.717,1.411,-0.729,0.447,-1.445,-1.48,-1.739,-0.791
SN29,-0.482,1.342,-1.641,-0.215,0.988,0.626,1.006,1.053,0.978,1.015
SN30,1.127,0.222,-0.137,0.11,1.871,0.336,-0.866,-0.839,-0.902,0.036
SN31,-1.701,0.665,-0.503,0.507,-0.435,-1.292,1.019,1.455,1.37,0.283
SN32,-0.583,1.133,-0.694,-1.046,-0.367,0.422,1.223,1.086,0.72,-0.881
SN33,0.398,2.086,-0.885,-1.567,-1.098,1.846,1.763,1.899,1.586,2.34
SN34,0.915,-0.182,-0.287,0.398,0.862,0.847,-0.957,-0.866,-0.929,-0.089
SN35,1.084,-1.426,-0.216,1.396,-1.24,-0.002,-0.575,-0.753,-0.932,0.512
SN36,-1.866,-0.803,-0.373,-0.213,-0.211,-0.575,0.481,0.033,-0.542,-0.721
SN37,0.019,1.472,-2.433,-1.839,2.415,1.939,1.552,0.626,0.188,0.94
SN38,0.531,1.465,-1.274,-0.845,0.673,1.722,0.998,0.399,0.018,0.617
SN39,0.098,-0.702,-0.116,-0.744,0.508,-0.2,-0.03,0.048,0.128,-0.272
