Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
The Land Girls,146083,146083,NA,8000000,Jun 12 1998,R,NA,Gramercy,NA,NA,NA,NA,NA,6.1,1071,Other
"First Love, Last Rites",10876,10876,NA,300000,Aug 07 1998,R,NA,Strand,NA,Drama,NA,NA,NA,6.9,207,Drama
I Married a Strange Person,203134,203134,NA,250000,Aug 28 1998,NA,NA,Lionsgate,NA,Comedy,NA,NA,NA,6.8,865,Comedy
Let's Talk About Sex,373615,373615,NA,300000,Sep 11 1998,NA,NA,Fine Line,NA,Comedy,NA,NA,13,NA,NA,Comedy
Slam,1009819,1087521,NA,1000000,Oct 09 1998,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62,3.4,165,Drama
Mississippi Mermaid,24551,2624551,NA,1600000,Jan 15 1999,NA,NA,MGM,NA,NA,NA,NA,NA,NA,NA,Other
Following,44705,44705,NA,6000,Apr 04 1999,R,NA,Zeitgeist,NA,NA,NA,Christopher Nolan,NA,7.7,15133,Other
Foolish,6026908,6026908,NA,1600000,Apr 09 1999,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.8,353,Comedy
Pirates,1641825,6341825,NA,40000000,Jul 01 1986,R,NA,NA,NA,NA,NA,Roman Polanski,25,5.8,3275,Other
Duel in the Sun,20400000,20400000,NA,6000000,Dec 31 2046,NA,NA,NA,NA,NA,NA,NA,86,7,2906,Other
Tom Jones,37600000,37600000,NA,1000000,Oct 07 1963,NA,NA,NA,NA,NA,NA,NA,81,7,4035,Other
Oliver!,37402877,37402877,NA,10000000,Dec 11 1968,NA,NA,Sony Pictures,NA,Musical,NA,NA,84,7.5,9111,Musical
To Kill A Mockingbird,13129846,13129846,NA,2000000,Dec 25 1962,NA,NA,Universal,NA,NA,NA,NA,97,8.4,82786,Other
"Tora, Tora, Tora",29548291,29548291,NA,25000000,Sep 23 1970,NA,NA,NA,NA,NA,NA,Richard Fleischer,NA,NA,NA,Other
Hollywood Shuffle,5228617,5228617,NA,100000,Mar 01 1987,NA,NA,NA,NA,NA,NA,NA,87,6.8,1532,Other
Over the Hill to the Poorhouse,3000000,3000000,NA,100000,Sep 17 2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
Wilson,2000000,2000000,NA,5200000,Aug 01 2044,NA,NA,NA,NA,NA,NA,NA,NA,7,451,Other
Darling Lili,5000000,5000000,NA,22000000,Jan 01 1970,NA,NA,NA,NA,NA,NA,Blake Edwards,NA,6.1,858,Other
The Ten Commandments,80000000,80000000,NA,13500000,Oct 05 1956,NA,NA,NA,NA,NA,NA,NA,90,2.5,1677,Other
12 Angry Men,0,0,NA,340000,Apr 13 1957,NA,NA,United Artists,Original Screenplay,Drama,NA,Sidney Lumet,NA,8.9,119101,Drama
Twelve Monkeys,57141459,168841459,NA,29000000,Dec 27 1995,R,NA,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,NA,8.1,169858,Drama
1776,0,0,NA,4000000,Nov 09 1972,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57,7,4099,Drama
1941,34175000,94875000,NA,32000000,Dec 14 1979,NA,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33,5.6,13364,Comedy
Chacun sa nuit,18435,18435,NA,1900000,Jun 29 2007,Not Rated,NA,Strand,Original Screenplay,Thriller/Suspense,NA,NA,NA,6.3,365,Thriller/Suspense
2001: A Space Odyssey,56700000,68700000,NA,10500000,Apr 02 1968,NA,NA,NA,Original Screenplay,NA,Science Fiction,Stanley Kubrick,96,8.4,160342,Other
"20,000 Leagues Under the Sea",28200000,28200000,NA,5000000,Dec 23 1954,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,NA,Richard Fleischer,92,NA,NA,Adventure
"20,000 Leagues Under the Sea",8000000,8000000,NA,200000,Dec 24 2016,NA,NA,NA,Based on Book/Short Story,Adventure,NA,NA,NA,NA,NA,Adventure
24 7: Twenty Four Seven,72544,72544,NA,2000000,Apr 15 1998,R,NA,October Films,Original Screenplay,Comedy,NA,Shane Meadows,NA,6.9,1417,Comedy
Twin Falls Idaho,985341,1027228,NA,500000,Jul 30 1999,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77,7.1,2810,Drama
Three Kingdoms: Resurrection of the Dragon,0,22139590,NA,20000000,Apr 03 2008,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,NA,NA,Action
3 Men and a Baby,167780960,167780960,NA,15000000,Nov 25 1987,NA,NA,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,NA,5.7,16764,Comedy
3 Ninjas Kick Back,11744960,11744960,NA,20000000,May 06 1994,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17,3.2,3107,Action
Forty Shades of Blue,75828,172569,NA,1500000,Sep 28 2005,R,NA,Vitagraph Films,Original Screenplay,Drama,NA,NA,NA,6,873,Drama
42nd Street,2300000,2300000,NA,439000,Mar 09 2033,NA,NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95,7.7,4263,Musical
Four Rooms,4301000,4301000,NA,4000000,Dec 25 1995,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14,6.4,34328,Comedy
The Four Seasons,42488161,42488161,NA,6500000,May 22 1981,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814,Comedy
Four Weddings and a Funeral,52700832,242895809,NA,4500000,Mar 09 1994,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96,7.1,39003,Romantic Comedy
51 Birch Street,84689,84689,NA,350000,Oct 18 2006,Not Rated,NA,Truly Indie,NA,NA,NA,NA,97,7.4,439,Other
55 Days at Peking,10000000,10000000,NA,17000000,Dec 31 1962,NA,NA,NA,Original Screenplay,Drama,NA,NA,57,6.8,2104,Drama
Nine 1/2 Weeks,6734844,6734844,NA,18000000,Feb 21 1986,NA,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,NA,5.4,12731,Drama
AstÈrix aux Jeux Olympiques,999811,132999811,NA,113500000,Jul 04 2008,Not Rated,NA,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,4.9,5620,Adventure
The Abyss,54243125,54243125,NA,70000000,Aug 09 1989,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88,7.6,51018,Action
Action Jackson,20257000,20257000,NA,7000000,Feb 12 1988,NA,NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10,4.6,3856,Action
Ace Ventura: Pet Detective,72217396,107217396,NA,12000000,Feb 04 1994,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49,6.6,63543,Comedy
Ace Ventura: When Nature Calls,108360063,212400000,NA,30000000,Nov 10 1995,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,NA,5.6,51275,Comedy
April Fool's Day,12947763,12947763,NA,5000000,Mar 27 1986,NA,NA,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,31,NA,NA,Horror
Among Giants,64359,64359,NA,4000000,Mar 26 1999,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,NA,NA,NA,5.7,546,Romantic Comedy
Annie Get Your Gun,8000000,8000000,NA,3768785,May 17 1950,NA,NA,MGM,Based on Book/Short Story,Musical,NA,NA,100,7.1,1326,Musical
Alice in Wonderland,0,0,NA,3000000,Jul 28 1951,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Musical,NA,NA,20,6.7,63458,Musical
The Princess and the Cobbler,669276,669276,NA,24000000,Aug 25 1995,G,NA,Miramax,Original Screenplay,Adventure,Fantasy,NA,NA,7.3,893,Adventure
The Alamo,7900000,7900000,NA,12000000,Oct 24 1960,PG-13,NA,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54,5.9,10063,Other
Alexander's Ragtime Band,4000000,4000000,NA,2000000,Dec 31 1937,NA,NA,20th Century Fox,Original Screenplay,Drama,NA,NA,NA,NA,NA,Drama
Alive,36299670,36299670,NA,32000000,Jan 15 1993,R,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71,3.2,124,Adventure
Amen,274299,274299,NA,14000000,Jan 24 2003,Not Rated,NA,Kino International,Based on Play,Drama,NA,Costa-Gavras,NA,7.4,5416,Drama
American Graffiti,115000000,140000000,NA,777000,Aug 11 1973,NA,NA,Universal,Original Screenplay,Comedy,NA,George Lucas,97,7.6,30952,Comedy
American Ninja 2: The Confrontation,4000000,4000000,NA,350000,Dec 31 1986,NA,NA,NA,Original Screenplay,Action,NA,Sam Firstenberg,NA,3.7,2495,Action
The American President,60022813,107822813,NA,62000000,Nov 17 1995,PG-13,NA,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90,6.8,22780,Romantic Comedy
Annie Hall,38251425,38251425,NA,4000000,Apr 20 1977,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,98,8.2,65406,Comedy
Anatomie,9598,9598,NA,2500000,Sep 08 2000,Not Rated,NA,Sony Pictures,Original Screenplay,Horror,NA,NA,NA,6.1,6266,Horror
The Adventures of Huck Finn,24103594,24103594,NA,6500000,Apr 02 1993,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62,5.8,3095,Adventure
The Apartment,18600000,24600000,NA,3000000,Dec 31 1959,NA,NA,United Artists,Original Screenplay,Romantic Comedy,NA,Billy Wilder,91,8.4,36485,Romantic Comedy
Apocalypse Now,78800000,78800000,3479242,31500000,Aug 15 1979,R,NA,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98,8.6,173141,Action
Arachnophobia,53208180,53208180,NA,31000000,Jul 18 1990,NA,NA,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85,6.2,20528,Thriller/Suspense
Arn - Tempelriddaren,0,14900000,NA,16500000,Dec 25 2007,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,6.4,6251,Action
Arnolds Park,23616,23616,NA,600000,Oct 19 2007,PG-13,NA,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.1,77,Thriller/Suspense
Sweet Sweetback's Baad Asssss Song,15200000,15200000,NA,150000,Jan 01 1971,NA,NA,NA,NA,NA,NA,NA,NA,5.6,1769,Other
And Then Came Love,8158,8158,NA,989000,Jun 01 2007,Not Rated,NA,Fox Meadow,NA,Comedy,NA,NA,17,4.4,200,Comedy
Around the World in 80 Days,42000000,42000000,NA,6000000,Oct 17 1956,PG,NA,United Artists,Based on Book/Short Story,Adventure,NA,NA,73,5.6,21516,Adventure
Barbarella,0,0,NA,9000000,Oct 10 1968,NA,NA,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,74,5.7,10794,Adventure
Barry Lyndon,20000000,20000000,NA,11000000,Dec 31 1974,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,NA,Stanley Kubrick,94,8.1,39909,Drama
"Barbarians, The",800000,800000,NA,4000000,Mar 01 1987,NA,NA,NA,NA,NA,NA,NA,NA,5.4,236,Other
Babe,63658910,246100000,NA,30000000,Aug 04 1995,G,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98,7.3,35644,Adventure
Boynton Beach Club,3127472,3127472,NA,2900000,Mar 24 2006,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,NA,NA,NA,Romantic Comedy
Baby's Day Out,16581575,16581575,NA,50000000,Jul 01 1994,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21,5,8332,Comedy
Bound by Honor,4496583,4496583,NA,35000000,Apr 16 1993,NA,NA,Walt Disney Pictures,Original Screenplay,NA,NA,Taylor Hackford,NA,7.7,10142,Other
"Bon Cop, Bad Cop",12671300,12671300,NA,8000000,Aug 04 2006,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,67,6.9,151,Comedy
Back to the Future,210609762,381109762,NA,19000000,Jul 03 1985,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598,Adventure
Back to the Future Part II,118450002,332000000,NA,40000000,Nov 22 1989,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64,7.5,87341,Adventure
Back to the Future Part III,87666629,243700000,NA,40000000,May 24 1990,NA,NA,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71,7.1,77541,Adventure
Butch Cassidy and the Sundance Kid,102308900,102308900,NA,6000000,Oct 24 1969,NA,NA,20th Century Fox,NA,Western,Historical Fiction,George Roy Hill,90,8.2,57602,Other
Bad Boys,65647413,141247413,NA,23000000,Apr 07 1995,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39,6.6,53929,Action
