id,category,description,startDate,endDate
13484501,Residential Building Request,Infestation_Bed_Bugs,2021-02-12T19:41Z,2021-02-12T19:49Z
13482803,Residential Building Request,Heat_Lack_of_Heat,2021-02-12T14:17Z,2021-02-12T22:57Z
13482209,Residential Building Request,General_Maintenance_Not_in_List_Above,2021-02-12T03:50Z,2021-02-12T22:53Z
13479944,Residential Building Request,General_Maintenance_Not_in_List_Above,2021-02-11T17:32Z,2021-02-11T17:52Z
13479917,Residential Building Request,General_Maintenance_Not_in_List_Above,2021-02-11T17:27Z,2021-02-11T17:52Z
13479902,Residential Building Request,Plumbing_Broken_leaking,2021-02-11T17:24Z,2021-02-11T17:50Z
13478477,Residential Building Request,Kitchen_Community,2021-02-11T08:41Z,2021-02-11T12:06Z
13478297,Residential Building Request,Noise_Caused_by_Building_Systems,2021-02-11T03:37Z,2021-02-12T21:07Z
13478283,Residential Building Request,Doors_Windows_Broken_Defective,2021-02-11T03:25:16Z,2021-02-11T12:08Z
13477630,Residential Building Request,Hot_Water_Lack_of_Hot_Water,2021-02-10T23:07Z,2021-02-11T12:11Z
13476817,Residential Building Request,Ventilation_Inadequate_or_None,2021-02-10T20:16Z,2021-02-11T12:19Z
13475753,Residential Building Request,Elevators_Everthing_Else,2021-02-10T17:17Z,2021-02-10T20:53Z
13475019,Residential Building Request,Hot_Water_Lack_of_Hot_Water,2021-02-10T14:58Z,2021-02-10T21:41Z
13474358,Residential Building Request,Infestation_Bed_Bugs,2021-02-10T09:29Z,2021-02-10T15:46Z
13474189,Residential Building Request,Infestation_Bed_Bugs,2021-02-10T04:05:04Z,2021-02-10T15:51Z
13473209,Residential Building Request,Infestation_Rodent_Insect,2021-02-09T22:21Z,2021-02-10T15:55Z
13471941,Residential Building Request,Infestation_Rodent_Insect,2021-02-09T18:45Z,2021-02-10T15:57Z
13471064,Residential Building Request,Heat_Lack_of_Heat,2021-02-09T16:29Z,2021-02-09T16:38Z
13470004,Residential Building Request,Garbage_Receptacles,2021-02-09T13:25Z,2021-02-09T14:06Z
13469099,Residential Building Request,Clutter_Hoarder_Unit_Interior_Storage,2021-02-08T23:45:13Z,2021-02-09T14:08Z
13468850,Residential Building Request,Clutter_Hoarder_Unit_Interior_Storage,2021-02-08T22:43Z,2021-02-12T15:28Z
13468033,Residential Building Request,Infestation_Rodent_Insect,2021-02-08T20:21Z,2021-02-08T20:32Z
13467755,Residential Building Request,Mold_and_Mildew,2021-02-08T19:40Z,2021-02-09T15:06Z
13467558,Residential Building Request,Infestation_Rodent_Insect,2021-02-08T19:13Z,2021-02-08T19:28Z
13466516,Residential Building Request,Mold_and_Mildew,2021-02-08T16:40Z,2021-02-09T15:15Z
13464993,Residential Building Request,Bathroom,2021-02-08T04:23Z,2021-02-08T21:50Z
13463035,Residential Building Request,Infestation_Rodent_Insect,2021-02-07T16:39Z,2021-02-08T16:11Z
13462031,Residential Building Request,Infestation_Rodent_Insect,2021-02-07T02:17:31Z,2021-02-08T16:10Z
13460454,Residential Building Request,Doors_Windows_Broken_Defective,2021-02-06T18:10Z,2021-02-08T21:50Z
13458564,Residential Building Request,Mold_and_Mildew,2021-02-06T00:20Z,2021-02-08T19:27Z
