Year,Lynx
1845,30090
1846,45150
1847,49150
1848,39520
1849,21230
1850,8420
1851,5560
1852,5080
1853,10170
1854,19600
1855,32910
1856,34380
1857,29590
1858,21300
1859,13690
1860,7650
1861,4080
1862,4090
1863,14330
1864,38220
1865,60780
1866,70770
1867,72770
1868,42680
1869,16390
1870,9830
1871,5800
1872,5260
1873,18910
1874,30950
1875,31180
1876,46340
1877,45770
1878,44150
1879,36330
1880,12030
1881,12600
1882,18340
1883,35140
1884,43770
1885,65690
1886,79350
1887,51650
1888,32590.000000000004
1889,22450
1890,16160
1891,14120
1892,20380
1893,33330
1894,46000
1895,51410
1896,46430
1897,33680
1898,18010
1899,8860
1900,7130
1901,9470
1902,14860
1903,31470
1904,60570
1905,63510
1906,54700
1907,6300
1908,3410
1909,5440
1910,11650
1911,20350
1912,32880
1913,39550
1914,43360
1915,40830
1916,30360
1917,17180
1918,6820
1919,3190
1920,3520
1921,9940
1922,20300
1923,31990
1924,42360
1925,49080
1926,53990
1927,52250
1928,37700
1929,19140
1930,6980
1931,8310
1932,16010.000000000002
1933,24820
1934,29700
1935,35400
