County,Salaries_Wages,Employee_Benefits,Print_Materials,Electronic_format,Audiovisual_Materials,All_Other_Materials,Contracted_Services,Other_Operating_Expenditures,Total_Operating_Expenditures
Adams,53.9,21.3,5.6,0.6,2.1,0.1,8.5,8,100
Ashland,52.1,19.8,5.9,0.3,2.3,1.1,4,14.5,100
Barron,48.4,15.7,8.7,0.8,2.9,0.1,4.1,19.4,100
Bayfield,52.4,12.6,7.1,0.4,2.8,0.4,5.9,18.4,100
Brown,44.6,16.7,6.6,2.1,2.1,0.3,0.6,26.9,100
Buffalo,53,13.2,10,0.4,2.7,0.1,3.5,17.2,100
Burnett,44.1,14.7,6.9,0.7,2,0,6,25.5,100
Calumet,48.8,15.1,10.5,0.4,3.2,0.9,2.4,18.8,100
Chippewa,51.3,20,8.3,1,1.8,0.7,3.3,13.6,100
Clark,45.7,10.8,10.7,0,2.6,0.3,6.2,23.7,100
Columbia,50.2,16.1,6.3,1.2,1.9,0.1,8.4,15.9,100
Crawford,47.9,12.9,10.5,0.1,4.9,1.6,5.9,16.1,100
Dane,44.7,13.5,3.9,0.9,1.6,0.4,14.5,20.5,100
Dodge,45.9,14,8.4,2.1,5.5,0.5,2.7,20.8,100
Door,55,22.2,8.2,0.4,2,0.7,4.1,7.4,100
Douglas,57.4,20.6,4,0.7,1.3,0,2.7,13.3,100
Dunn,50,16.3,7.1,1.1,1.8,0.1,5.5,18.1,100
Eau Claire,47.7,18.6,6.2,1.8,2.4,0.1,3.5,19.7,100
Florence,32.7,24.2,8.5,0.5,0,1.1,8.2,24.9,100
Fond du Lac,52.2,15.8,7.9,1.2,3.1,0.1,2.1,17.6,100
Forest,44.3,25.8,8.4,0,1.7,0.1,5.2,14.5,100
Grant,52.5,14.9,8.9,0,2.3,0.2,4.8,16.4,100
Green,51.4,18.3,7.2,0.7,2.4,0.5,5.4,14.1,100
Green Lake,49.1,10.3,8.8,1.2,3.5,0.6,6.9,19.7,100
Iowa,54.3,18.3,7.5,0.8,2.6,0.1,5.2,11.4,100
Iron,43.3,21.8,13.2,0.3,3.4,1.6,4.6,11.7,100
Jackson,53.5,17.5,7.1,0.2,1.9,-0,6.3,13.4,100
Jefferson,53.5,18.8,7.1,0.4,2.5,0.1,3,14.6,100
Juneau,43.4,18.6,7,0.6,2,0,4.1,24.3,100
Kenosha,51.3,18.7,5.6,1.9,1.5,0.2,0.2,20.6,100
Kewaunee,49.1,16.6,11,0.8,1.5,0.1,7.1,13.8,100
La Crosse,57.8,19.5,4.4,0.8,2.1,0.1,1.7,13.6,100
Lafayette,47.1,10.2,12.2,0,3.3,0.4,7,19.8,100
Langlade,51.4,18.3,8.7,1.3,2.8,0.3,4.9,12.1,100
Lincoln,53.4,17.7,7.2,0.2,1.6,0.4,3,16.5,100
Manitowoc,54.7,16.2,8.3,0.9,1.9,0,1.6,16.3,100
Marathon,57.3,16.5,8,0.8,2.1,-0,4.4,10.9,100
Marinette,51.2,16.4,4.8,0.6,3.4,0,5,18.7,100
Marquette,47.9,15.6,7.4,1.1,3.2,0.3,13,11.5,100
Menominee,45.8,19,3.2,0.5,1.6,5.2,-0,24.7,100
Milwaukee,52.2,19.9,5.7,1.6,1.7,0,1.9,17.1,100
Monroe,51.9,18.6,6.3,0.4,2.1,0.1,2.8,17.7,100
Oconto,52.6,15.6,7.6,0.3,2.6,0.4,5.2,15.6,100
Oneida,54.4,21,7.3,0,1.7,0,3.8,11.8,100
Outagamie,51.4,15.7,7.5,2.8,2.4,0.2,2.4,17.7,100
Ozaukee,51,16.5,7.2,1.4,2,0.2,0.7,21.1,100
Pepin,44.4,11,15.1,1.5,2.7,0.8,1.7,22.9,100
Pierce,50,12.1,6.8,1.1,2.3,0.2,3,24.4,100
Polk,48.4,13.1,7.4,1,2.9,0.2,3.9,23.1,100
Portage,60.4,20.2,4.7,1,1.3,0,7,5.3,100
Price,47.2,20,8.8,0.7,2.2,0.4,2.1,18.5,100
Racine,55.4,18.8,5.9,1.3,1.9,0.3,-0,16.5,100
Richland,53.8,14.8,6.5,0,1.4,0.2,6.9,16.4,100
Rock,54.3,15.8,5.3,1.3,2.4,0.3,2.7,17.9,100
Rusk,49.9,21.1,6.1,0.9,2,0.1,2.7,17.2,100
Saint Croix,45.9,12.6,8.9,1.1,2.6,0.3,5.1,23.3,100
Sauk,51,15.2,6.8,1,2.5,0.9,7.7,15,100
Sawyer,47.9,13.1,7.5,1.2,1.8,0.5,4.3,23.7,100
